income,sex,university,hsgrade,grant,dropout
9122.06,female,pisa,100,yes,no
1313.02,female,pisa,100,yes,no
17654.44,male,pisa,60,yes,no
4713.93,male,pisa,60,yes,yes
14725.29,male,pisa,95,yes,no
14528.8,female,pisa,82,yes,no
11622.79,male,pisa,67,yes,no
16194.11,female,pisa,70,yes,no
12547.97,female,pisa,78,yes,no
9086.07,female,pisa,83,yes,no
13577.24,female,pisa,66,yes,no
7377.64,male,pisa,80,yes,no
17745.68,male,pisa,100,yes,no
5718.95,female,pisa,68,yes,no
361.57,female,pisa,89,yes,no
13708.83,male,pisa,85,yes,no
12918.34,female,pisa,100,yes,no
12934.15,female,pisa,100,yes,no
7919.12,female,pisa,86,yes,no
11438.35,male,pisa,90,yes,no
11570.68,male,pisa,70,yes,no
1948.78,male,pisa,61,yes,no
11764.71,female,pisa,69,yes,no
12606.91,male,pisa,78,yes,no
9754.62,male,pisa,60,yes,yes
5386.44,male,pisa,85,yes,no
10930.14,female,pisa,60,yes,yes
15976.83,female,pisa,100,yes,no
11249.7,male,pisa,64,yes,no
14065.98,male,pisa,80,yes,no
10554.9,female,pisa,91,yes,no
10957.52,female,pisa,93,yes,no
12572.14,female,pisa,80,yes,no
12427.41,male,pisa,93,yes,no
360.57,female,pisa,88,yes,no
9716.14,male,pisa,86,yes,no
9337.29,female,pisa,100,yes,no
17729.9,male,pisa,65,yes,no
13426.47,female,pisa,68,yes,no
9890.23,female,pisa,63,yes,yes
8420.17,male,pisa,68,yes,no
8441.73,female,pisa,100,yes,no
16234.8,female,pisa,100,yes,yes
4760.39,female,pisa,77,yes,no
11321.22,female,pisa,64,yes,no
12408.82,male,pisa,84,yes,no
11602.66,female,pisa,70,yes,no
10748.35,female,pisa,100,yes,no
5741.8,female,pisa,85,yes,no
4245.94,female,pisa,64,yes,no
11989.81,female,pisa,60,yes,no
8532.48,female,pisa,76,yes,no
5060.67,male,pisa,80,yes,no
13548.06,female,pisa,100,yes,no
3682.17,female,pisa,81,yes,no
5954.39,female,pisa,90,yes,no
15132.22,female,pisa,100,yes,yes
16236.1,female,pisa,60,yes,yes
3684.71,female,pisa,60,yes,yes
10293.5,female,pisa,100,yes,no
9536.34,female,pisa,100,yes,no
5087,male,pisa,61,yes,no
14902.65,female,pisa,97,yes,no
11881.81,female,pisa,100,yes,no
19512.14,female,pisa,87,yes,yes
9111.18,female,pisa,72,yes,yes
12220.27,female,pisa,97,yes,yes
9114.8,male,pisa,64,yes,yes
2562.75,female,pisa,100,yes,no
13270.61,male,pisa,91,yes,no
10475.68,male,pisa,63,yes,yes
3371.29,female,pisa,68,yes,yes
16751.4,female,pisa,88,yes,no
4752.87,female,pisa,86,yes,yes
6975.8,female,pisa,85,yes,no
8738.91,female,pisa,84,yes,no
257.35,female,pisa,80,yes,no
11638.95,male,pisa,90,yes,no
14346.91,female,pisa,67,yes,no
9253.92,female,pisa,100,yes,yes
535.8,female,pisa,60,yes,no
17455.93,female,pisa,74,yes,no
11462.3,female,pisa,71,yes,yes
9293.5,male,pisa,100,yes,no
1921.76,female,pisa,97,yes,no
9382.23,male,pisa,95,yes,no
16151.59,female,pisa,88,yes,no
12643.59,female,pisa,65,yes,yes
8541.19,male,pisa,100,yes,no
7854.47,female,pisa,73,yes,yes
12161.89,male,pisa,66,yes,no
15832.93,female,pisa,90,yes,no
9306.63,female,pisa,100,yes,no
18123.98,female,pisa,100,yes,yes
11086.61,female,pisa,73,yes,no
11850.25,female,pisa,60,yes,yes
16236.1,male,pisa,75,yes,yes
3490.7,male,pisa,60,yes,no
9491.88,male,pisa,60,yes,no
10559.07,male,pisa,83,yes,yes
9543.6,female,pisa,91,yes,yes
13664.46,female,pisa,93,yes,no
7628.77,female,pisa,60,yes,no
11425.2,female,pisa,72,yes,no
1273.25,female,pisa,100,yes,yes
7658.13,female,pisa,66,yes,no
11466.18,female,pisa,96,yes,no
4798.37,male,pisa,80,yes,yes
16062.28,female,pisa,78,yes,yes
14049.61,female,pisa,83,yes,no
1713.92,male,pisa,62,yes,no
17278.09,female,pisa,100,yes,no
14900.16,male,pisa,100,yes,no
12536.34,female,pisa,92,yes,no
8461.59,female,pisa,78,yes,yes
10091.15,female,pisa,60,yes,no
13297.13,female,pisa,97,yes,no
7412.35,male,pisa,66,yes,no
10514,female,pisa,60,yes,yes
4558.54,female,pisa,70,yes,no
13176.76,female,pisa,71,yes,no
13559.25,male,pisa,70,yes,no
11310.59,female,pisa,90,yes,no
4367.65,female,pisa,86,yes,no
5873.89,female,pisa,77,yes,yes
10017.26,female,pisa,60,yes,no
19361.46,male,pisa,68,yes,no
5763.46,female,pisa,86,yes,no
8845.93,male,pisa,92,yes,no
2573.53,female,pisa,88,yes,yes
19119.61,female,pisa,100,yes,yes
7885.29,female,pisa,64,yes,yes
5751.79,female,pisa,88,yes,no
7024.09,female,pisa,82,yes,yes
12582.6,male,pisa,74,yes,no
15477.35,female,pisa,100,yes,no
2260.78,female,pisa,67,yes,no
11006.64,female,pisa,83,yes,no
9107.18,male,pisa,83,yes,no
16560.08,female,pisa,66,yes,no
3877.24,female,pisa,100,yes,no
3633.33,female,pisa,83,yes,no
3788.59,female,pisa,93,yes,no
