pcp,insure,smoke,obese,healthfood,male,lt55,white,edu,unemploy,hhinc,commute,compressor,logMortRate
193,21.50119142,21,36.5,5.026389121,49.5,65.68,96.94,9.75,11.18,32057,22,0,-0.616186139
299,21.63957886,28.4,30.8,4.828485802,49.85,61.1,97.03,17.24,12.04,40768,24,1,-0.713349888
166,19.07137907,21.7,28.7,8.802406468,49.83,68.97,85.69,14.61,10.29,41586,29,0,-0.653926467
276,18.6003207,15.9,30.4,7.383176757,47.58,72.14,60,21.3,9.5,37509,17,1,-0.562118918
283,19.44938342,27.7,29.4,9.387720081,49.53,69.01,85.69,16.46,8.73,37314,25,1,-0.713349888
751,19.41725418,18.3,34.1,10.29967191,48.8,76.77,82.49,24.84,8.21,42085,18,0,-0.673344553
498,20.48691464,22.2,32.8,9.612168704,49.11,73.16,91.41,14.34,8.5,40712,23,0,-0.653926467
690,18.33450123,23.6,32.6,4.393326087,47.34,76.95,45.84,14.6,12.55,37781,21,0,-0.597837001
210,20.35911975,33.8,34.7,7.914343972,47.89,70.64,75.14,12.42,9.06,37725,25,0,-0.597837001
203,20.28182245,23.9,33.9,15.90087081,46.4,69.9,49.27,11.61,15.14,28457,20,0,-0.673344553
388,26.22307412,23.9,30.5,4.054455867,48.52,64.77,93.55,16.98,7.36,36897,20,0,-0.616186139
828,17.2326069,18,29.2,9.075142413,49.03,79.44,84.63,27.28,6.83,51095,24,0,-0.693147181
182,19.67653178,27.7,32.2,5.560227612,49.65,69.35,95.17,12.62,11.32,39879,27,1,-0.634878272
183,22.63474317,29.2,36.5,9.298290461,49.39,60.14,97.02,10.65,8.72,36244,26,0,-0.673344553
1143,22.97565756,27.7,26.2,11.52825453,48.51,64.47,84.87,21.05,10.04,39558,22,0,-0.693147181
185,16.55937993,39,31.5,4.04451328,49.03,72.16,94.73,15.31,9.55,46074,31,0,-0.597837001
380,18.31513949,17.7,33.9,8.266471099,49.47,73.44,96.48,14.91,9.58,39500,20,0,-0.673344553
